la_code,claims,outright_orders,repossessions,warrants,date
E06000001,6.0,,,,2003-01-01
E06000002,,,,,2003-01-01
E06000003,,,,,2003-01-01
E06000004,,6.0,,,2003-01-01
E06000005,6.0,,,,2003-01-01
E06000006,17.0,14.0,,,2003-01-01
E06000007,,,,,2003-01-01
E06000008,,,,,2003-01-01
E06000009,11.0,7.0,,,2003-01-01
E06000010,17.0,11.0,,,2003-01-01
E06000011,11.0,13.0,,,2003-01-01
E06000012,6.0,7.0,,,2003-01-01
E06000013,,,,,2003-01-01
E06000014,,,,,2003-01-01
E06000015,13.0,13.0,,,2003-01-01
E06000016,53.0,38.0,11.0,14.0,2003-01-01
E06000018,15.0,7.0,,,2003-01-01
E06000019,6.0,,,,2003-01-01
E06000020,21.0,22.0,8.0,11.0,2003-01-01
E06000021,12.0,,,,2003-01-01
E06000022,7.0,6.0,,,2003-01-01
E06000023,27.0,24.0,7.0,14.0,2003-01-01
E06000024,,,,,2003-01-01
E06000025,,,,,2003-01-01
E06000026,43.0,36.0,16.0,25.0,2003-01-01
E06000027,17.0,22.0,7.0,,2003-01-01
E06000028,37.0,28.0,10.0,11.0,2003-01-01
E06000029,9.0,6.0,,,2003-01-01
E06000030,,,,,2003-01-01
E06000031,22.0,19.0,7.0,14.0,2003-01-01
E06000032,33.0,24.0,9.0,19.0,2003-01-01
E06000033,24.0,19.0,,8.0,2003-01-01
E06000034,6.0,,,,2003-01-01
E06000035,34.0,22.0,,9.0,2003-01-01
E06000037,11.0,10.0,,,2003-01-01
E06000038,6.0,9.0,,,2003-01-01
E06000039,13.0,14.0,6.0,8.0,2003-01-01
E06000040,,,,,2003-01-01
E06000041,,,,,2003-01-01
E06000042,15.0,14.0,7.0,9.0,2003-01-01
E06000043,44.0,37.0,10.0,18.0,2003-01-01
E06000044,22.0,10.0,,,2003-01-01
E06000045,26.0,12.0,6.0,12.0,2003-01-01
E06000046,6.0,,,,2003-01-01
E06000047,10.0,,,,2003-01-01
E06000049,,,,,2003-01-01
E06000050,,,,,2003-01-01
E06000051,8.0,,,,2003-01-01
E06000052,51.0,31.0,6.0,10.0,2003-01-01
E06000054,11.0,11.0,,7.0,2003-01-01
E06000055,9.0,,,,2003-01-01
E06000056,13.0,,,,2003-01-01
E06000057,,,,,2003-01-01
E07000004,,,,,2003-01-01
E07000005,,,,,2003-01-01
E07000007,,,,,2003-01-01
E07000008,7.0,,,,2003-01-01
E07000009,,,,,2003-01-01
E07000010,9.0,8.0,,7.0,2003-01-01
E07000011,,,,,2003-01-01
E07000012,,,,,2003-01-01
E07000026,,,,,2003-01-01
E07000027,,,,,2003-01-01
E07000028,,,,,2003-01-01
E07000031,,,,,2003-01-01
E07000032,,,,,2003-01-01
E07000033,,,,,2003-01-01
E07000034,,,,,2003-01-01
E07000035,,,,,2003-01-01
E07000036,,,,,2003-01-01
E07000037,,,,,2003-01-01
E07000039,,,,,2003-01-01
E07000040,16.0,16.0,,13.0,2003-01-01
E07000041,,,,,2003-01-01
E07000042,,,,,2003-01-01
E07000043,10.0,9.0,,,2003-01-01
E07000044,,,,,2003-01-01
E07000045,7.0,,,,2003-01-01
E07000046,,,,,2003-01-01
E07000047,,,,,2003-01-01
E07000048,,,,,2003-01-01
E07000049,6.0,,,,2003-01-01
E07000050,,,,,2003-01-01
E07000051,,,,,2003-01-01
E07000052,,,,,2003-01-01
E07000053,14.0,14.0,7.0,9.0,2003-01-01
E07000061,18.0,11.0,6.0,6.0,2003-01-01
E07000062,26.0,17.0,7.0,7.0,2003-01-01
E07000063,7.0,8.0,,,2003-01-01
E07000064,9.0,8.0,,,2003-01-01
E07000065,,,,,2003-01-01
E07000066,13.0,13.0,6.0,8.0,2003-01-01
E07000067,,,,,2003-01-01
E07000068,,,,,2003-01-01
E07000069,,,,,2003-01-01
E07000070,7.0,,,,2003-01-01
E07000071,7.0,7.0,,,2003-01-01
E07000072,,,,,2003-01-01
E07000073,18.0,12.0,,6.0,2003-01-01
E07000074,,,,,2003-01-01
E07000075,,,,,2003-01-01
E07000076,10.0,8.0,,,2003-01-01
E07000079,,,,,2003-01-01
E07000080,,,,,2003-01-01
E07000081,8.0,6.0,,6.0,2003-01-01
E07000082,9.0,,,,2003-01-01
E07000083,,,,,2003-01-01
E07000084,,,,,2003-01-01
E07000085,6.0,,,,2003-01-01
E07000086,8.0,,,,2003-01-01
E07000087,,,,,2003-01-01
E07000088,6.0,7.0,,,2003-01-01
E07000089,,,,,2003-01-01
E07000090,6.0,,,,2003-01-01
E07000091,6.0,7.0,,,2003-01-01
E07000092,,7.0,,,2003-01-01
E07000093,,,,,2003-01-01
E07000094,,,,,2003-01-01
E07000095,,,,,2003-01-01
E07000096,8.0,7.0,,,2003-01-01
E07000098,6.0,,,,2003-01-01
E07000099,,,,,2003-01-01
E07000102,6.0,,,,2003-01-01
E07000103,7.0,,,,2003-01-01
E07000105,,,,,2003-01-01
E07000106,12.0,,,,2003-01-01
E07000107,,,,,2003-01-01
E07000108,15.0,10.0,,,2003-01-01
E07000109,7.0,6.0,,,2003-01-01
E07000110,,,,,2003-01-01
E07000111,,,,,2003-01-01
E07000112,15.0,13.0,,8.0,2003-01-01
E07000113,17.0,14.0,8.0,7.0,2003-01-01
E07000114,34.0,25.0,6.0,22.0,2003-01-01
E07000116,,,,,2003-01-01
E07000117,,,,,2003-01-01
E07000118,,,,,2003-01-01
E07000119,,,,,2003-01-01
E07000120,,,,,2003-01-01
E07000121,14.0,14.0,,,2003-01-01
E07000122,,,,,2003-01-01
E07000123,8.0,,,,2003-01-01
E07000124,,,,,2003-01-01
E07000125,,,,,2003-01-01
E07000126,,,,,2003-01-01
E07000127,,,,,2003-01-01
E07000128,13.0,7.0,,,2003-01-01
E07000129,,,,,2003-01-01
E07000130,,,,,2003-01-01
E07000131,,,,,2003-01-01
E07000132,,,,,2003-01-01
E07000133,,,,,2003-01-01
E07000134,,,,,2003-01-01
E07000135,,,,,2003-01-01
E07000136,,,,,2003-01-01
E07000137,11.0,6.0,,,2003-01-01
E07000138,,,,,2003-01-01
E07000139,7.0,,,,2003-01-01
E07000140,,,,,2003-01-01
E07000141,,,,,2003-01-01
E07000142,,,,,2003-01-01
E07000143,6.0,6.0,,,2003-01-01
E07000144,,,,,2003-01-01
E07000145,9.0,,,,2003-01-01
E07000146,,,,,2003-01-01
E07000147,10.0,11.0,,,2003-01-01
E07000148,13.0,14.0,6.0,7.0,2003-01-01
E07000149,,7.0,,,2003-01-01
E07000151,,,,,2003-01-01
E07000152,,,,,2003-01-01
E07000153,,,,,2003-01-01
E07000154,,,,,2003-01-01
E07000156,,,,,2003-01-01
E07000163,,,,,2003-01-01
E07000164,,,,,2003-01-01
E07000165,7.0,,,,2003-01-01
E07000166,,,,,2003-01-01
E07000167,,,,,2003-01-01
E07000168,8.0,10.0,,,2003-01-01
